"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Chills","chills;shivering;feeling cold;body chills;shaking chills","Occasional chills often accompanying fever or exposure to cold.","Paracetamol;warm fluids;blankets","Consult if with high fever or persistent","Warm fluids;herbal teas;soups;ginger","Warm clothing;rest;avoid cold environments","Persistent chills with fever and body aches indicating infection.","Antipyretics;antibiotics if bacterial","Medical attention if chills are severe or prolonged","Warm nutritious foods;vitamin C;zinc","Temperature regulation;adequate rest;monitor fever","Severe chills with high fever;confusion or breathing difficulty.","Prescription medications;hospital care if needed","Emergency for sepsis signs or altered mental state","Easy to digest warm foods;avoid cold drinks","Medical supervision;infection control;rest"
"Weakness","weakness;fatigue;low energy;feeling weak;loss of strength","Generalized weakness that improves with rest and nutrition.","Multivitamins;iron supplements;vitamin B12","Consult if persistent beyond 2 weeks","Energy foods;nuts;dry fruits;complex carbs","Adequate sleep;gradual exercise;stress management","Persistent weakness affecting daily activities and quality of life.","Nutritional supplements;thyroid medication if needed","Medical evaluation for underlying causes","Protein rich foods;iron;vitamin D","Paced activities;energy conservation;proper hydration","Severe weakness with weight loss;fever or other symptoms.","Prescription treatments;comprehensive workup","Specialist consultation for neurological or systemic causes","High-calorie nutrient-dense foods;small frequent meals","Medical management;rehabilitation;lifestyle changes"
"Itching","itching;pruritus;skin itching;scratchy skin;all over itching","Mild localized itching that responds to simple measures.","Calamine lotion;Cetirizine;moisturizers","Consult if widespread or persistent","Cooling foods;cucumber;mint;coconut water","Cool baths;loose clothing;avoid irritants","Persistent itching affecting sleep and daily activities.","Hydrocortisone cream;antihistamines;oatmeal baths","Dermatologist for chronic itching","Anti-inflammatory foods;omega-3;probiotics","Identify triggers;mild soaps;cool compresses","Severe widespread itching with rash;fever or skin changes.","Prescription creams;oral steroids;phototherapy","Emergency for breathing difficulty or severe reaction","Hypoallergenic diet;avoid spicy foods;alcohol","Medical evaluation;systemic treatment if needed"
"Acne","acne;pimples;zits;breakouts;face bumps;skin eruptions","Occasional pimples that respond to basic skin care.","Benzoyl peroxide;Salicylic acid;tea tree oil","Consult if severe;painful or scarring","Low glycemic foods;zinc;vitamin A;probiotics","Gentle cleansing;avoid picking;non-comedogenic products","Moderate acne with multiple lesions and inflammation.","Retinoids;antibiotic creams;oral contraceptives","Dermatologist for persistent acne","Anti-inflammatory diet;green tea;turmeric","Consistent routine;stress management;proper hygiene","Severe cystic acne with nodules;scarring or psychological impact.","Isotretinoin;stronger medications;procedures","Specialist care for treatment-resistant cases","Strict dietary modifications;avoid dairy;sugar","Medical management;psychological support;lifestyle"
"Ear Infection","ear infection;otitis;ear discharge;ear pain;swimmer's ear","Mild ear discomfort with possible slight discharge.","Antibiotic drops;Paracetamol;warm compress","Consult if pain severe or with hearing loss","Immune boosting foods;vitamin C;zinc","Keep ear dry;avoid inserting objects;rest","Moderate ear infection with pain;discharge and hearing changes.","Oral antibiotics;ear drops;decongestants","ENT specialist for proper treatment","Garlic;turmeric;ginger;berries","Proper ear hygiene;avoid swimming;pain management","Severe ear infection with high fever;severe pain or facial weakness.","Strong antibiotics;pain management;surgical evaluation","Emergency for severe symptoms or complications","Soft foods;avoid chewing;nutrient-rich diet","Medical supervision;possible surgical intervention"
"Pink Eye","pink eye;conjunctivitis;red eyes;sticky eyes;eye discharge","Mild eye redness with minimal discharge.","Antibiotic drops;artificial tears;cold compress","Consult immediately for proper diagnosis","Vitamin A rich foods;zinc;berries","Frequent hand washing;avoid touching eyes;separate towels","Moderate conjunctivitis with significant discharge and discomfort.","Prescription eye drops;oral antibiotics if bacterial","Ophthalmologist for proper treatment","Immune boosting foods;garlic;turmeric","Warm compresses;good hygiene;avoid contact lenses","Severe pink eye with pain;vision changes or systemic symptoms.","Stronger medications;combination therapy","Emergency for severe pain or vision loss","Light easily digestible foods;avoid spicy foods","Medical supervision;isolation if contagious"
"Hypertension","high BP;hypertension;high blood pressure;BP high","Mild elevation in blood pressure readings.","Amlodipine;Telma;low salt diet","Consult for proper diagnosis and management","Low sodium foods;potassium;magnesium;fiber","Regular exercise;stress management;weight control","Persistent hypertension requiring lifestyle modifications and monitoring.","Combination therapy;ACE inhibitors;beta blockers","Cardiologist for proper management","DASH diet;leafy greens;berries;oats","Regular monitoring;alcohol moderation;smoking cessation","Severe hypertension with symptoms like headache;chest pain or vision changes.","Multiple medications;emergency treatment","Emergency for hypertensive crisis symptoms","Strict sodium restriction;balanced nutrition","Medical supervision;lifestyle changes;regular follow-up"
"Diabetes Symptoms","high sugar;diabetes symptoms;frequent urination;increased thirst","Early symptoms of blood sugar fluctuations.","Metformin;diet control;exercise","Consult for proper diagnosis and testing","Low glycemic foods;fiber;protein;healthy fats","Regular exercise;weight management;blood sugar monitoring","Persistent symptoms suggesting possible diabetes development.","Oral medications;insulin if needed;lifestyle changes","Endocrinologist for comprehensive management","Complex carbs;non-starchy vegetables;lean proteins","Regular meal timing;physical activity;stress management","Severe symptoms with weight loss;blurred vision or fatigue.","Intensive management;multiple medications","Emergency for very high or low blood sugar","Strict carbohydrate counting;balanced meals","Medical supervision;education;regular monitoring"
"Arthritis","arthritis;joint inflammation;stiff joints;painful joints","Mild joint stiffness and discomfort.","Glucosamine;Ibuprofen;hot compress","Consult if symptoms persist or worsen","Anti-inflammatory foods;turmeric;ginger;fish oil","Gentle exercises;weight management;joint protection","Moderate arthritis affecting daily activities and mobility.","NSAIDs;Diclofenac;physiotherapy","Rheumatologist for proper diagnosis","Omega-3 foods;cherries;leafy greens;nuts","Low impact exercises;heat therapy;assistive devices","Severe arthritis with deformity;significant pain or disability.","DMARDs;biologics;steroid injections","Orthopedic consultation for advanced cases","Anti-inflammatory diet;weight control;nutrition","Medical management;physical therapy;possible surgery"
"Depression Symptoms","depression;sadness;low mood;hopelessness;loss of interest","Occasional low mood that improves with self-care.","St. John's Wort;multivitamins;therapy","Consult if symptoms persist beyond 2 weeks","Omega-3 foods;complex carbs;dark chocolate","Exercise;social support;routine;sleep hygiene","Persistent depressive symptoms affecting daily functioning.","Antidepressants;counseling;light therapy","Psychiatrist for proper diagnosis and treatment","Tryptophan rich foods;vitamin B;magnesium","Therapy;mindfulness;goal setting;activity scheduling","Severe depression with suicidal thoughts;inability to function.","Multiple medications;intensive therapy","Emergency for suicidal ideation or self-harm","Balanced regular meals;avoid alcohol;caffeine","Medical supervision;support system;crisis plan"
"IBS","IBS;irritable bowel;abdominal cramps;bowel changes","Mild digestive discomfort with occasional bowel changes.","Mebeverine;probiotics;peppermint oil","Consult for proper diagnosis and management","Low FODMAP foods;fiber;probiotic foods","Stress management;regular meals;exercise","Moderate IBS symptoms affecting quality of life and daily activities.","Antispasmodics;fiber supplements;antidiarrheals","Gastroenterologist for comprehensive care","Soluble fiber;ginger;peppermint tea","Food diary;relaxation techniques;sleep hygiene","Severe IBS with significant pain;weight loss or bleeding.","Prescription medications;psychological therapy","Specialist care for treatment-resistant cases","Strict elimination diet;small frequent meals","Multidisciplinary approach;lifestyle modifications"
"Thyroid Symptoms","thyroid;fatigue;weight changes;temperature sensitivity","Mild symptoms suggesting possible thyroid dysfunction.","Thyroid supplements after diagnosis","Consult for proper testing and diagnosis","Iodine rich foods;selenium;zinc;iron","Regular exercise;stress management;sleep","Moderate thyroid symptoms affecting metabolism and energy levels.","Thyroid medication;hormone replacement","Endocrinologist for proper management","Balanced nutrition;seaweed;Brazil nuts;eggs","Consistent routine;temperature regulation;activity","Severe thyroid symptoms with significant weight changes;heart issues.","Appropriate thyroid medication;monitoring","Emergency for thyroid storm or myxedema","Specific dietary requirements;regular meals","Medical supervision;lifestyle adjustments;monitoring"
"Chickenpox","chickenpox;varicella;water blisters;fever with rash","Early symptoms of viral infection with mild fever and spots.","Calamine lotion;Paracetamol;antihistamines","Consult immediately for diagnosis and care","Cool fluids;soft foods;vitamin C","Rest;isolation;avoid scratching;cool baths","Active chickenpox with multiple blisters and fever.","Antiviral medication;symptomatic treatment","Medical supervision for complications","Light nutritious foods;hydration;immune boosters","Comfort measures;nail trimming;loose clothing","Severe chickenpox with high fever;secondary infection or breathing difficulty.","Hospital care;IV antivirals;antibiotics","Emergency for severe symptoms or complications","Easy to swallow foods;avoid spicy;acidic foods","Medical isolation;symptom management;recovery"
